geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017
"Glenn County, CA","county",05000US06021,0.15,0.147,0.143,,,
"Humboldt County, CA","county",05000US06023,0.186,0.152,0.159,3.7,4.3,5.8
"Imperial County, CA","county",05000US06025,0.124,0.144,0.138,3.2,2.9,2.1
"Inyo County, CA","county",05000US06027,,0.13,0.123,,,
"Kern County, CA","county",05000US06029,0.16,0.167,0.146,8.2,8.3,8.7
"Kings County, CA","county",05000US06031,0.125,0.155,0.152,4.8,5.2,5
"Lake County, CA","county",05000US06033,0.245,0.153,0.15,7.2,8.2,9.1
"Lassen County, CA","county",05000US06035,0.181,0.148,0.141,4.4,5.5,6.4
"Los Angeles County, CA","county",05000US06037,0.123,0.124,0.117,7.2,6.6,6.1
"Madera County, CA","county",05000US06039,0.138,0.157,0.15,5.2,6,5.2
"Marin County, CA","county",05000US06041,0.097,0.105,0.1,1.7,1.6,1.8
"Mariposa County, CA","county",05000US06043,0.204,0.127,0.122,,,
"Mendocino County, CA","county",05000US06045,0.182,0.15,0.134,6.3,5.9,5.2
"Merced County, CA","county",05000US06047,0.117,0.156,0.153,7.6,8.2,9.2
"Modoc County, CA","county",05000US06049,,0.144,0.14,,,
"Mono County, CA","county",05000US06051,,0.136,0.129,,,
"Monterey County, CA","county",05000US06053,0.125,0.136,0.112,8.6,9.4,10.6
"Napa County, CA","county",05000US06055,0.085,0.112,0.117,1.4,1.3,1
"Nevada County, CA","county",05000US06057,0.141,0.117,0.12,2.3,2.1,1.4
"Orange County, CA","county",05000US06059,0.109,0.111,0.103,2.4,2.2,2
"Placer County, CA","county",05000US06061,0.081,0.114,0.101,1.8,1.9,1.8
"Plumas County, CA","county",05000US06063,0.144,0.133,0.126,,,
"Riverside County, CA","county",05000US06065,0.146,0.141,0.134,4.5,4.4,4
"Sacramento County, CA","county",05000US06067,0.146,0.15,0.129,6.3,6,6
"San Benito County, CA","county",05000US06069,,0.124,0.115,5,5.7,4
"San Bernardino County, CA","county",05000US06071,0.162,0.141,0.142,6.5,6.3,5.8
"San Diego County, CA","county",05000US06073,0.121,0.118,0.108,3.1,2.9,2.8
"San Francisco County, CA","county",05000US06075,0.095,0.115,0.099,7.2,6.3,5.2
"San Joaquin County, CA","county",05000US06077,0.164,0.139,0.132,9.4,9.3,10.2
"San Luis Obispo County, CA","county",05000US06079,0.091,0.124,0.119,2.2,2,1.8
"San Mateo County, CA","county",05000US06081,0.105,0.093,0.087,3.3,3.1,2.5
